"","x"
"1","R. João Corrêa Neto, 725 - Jardim Sao Pedro, Dourados - MS, 79810-080"
"2","Diamantino, Caxias do Sul - RS"
"3","APA Norte, Uberaba - MG"
"4","Serafina Corrêa - RS"
"5","R. Porta Medina - Teixeira de Freitas, BA"
"6","Guaratinga, BA, 45840-000"
"7","Rio Tinto, PB, 58297-000"
"8","Jardim Garcia, Campinas - SP"
"9","Balsas - MA"
"10","Nazareno - MG"
"11","Rua jc-2 Qd i1-A LT 31 Jardim Curitiba 04, Goiânia - GO, 74480-450"
"12","Nova Serrana, MG, 35519-000"
"13","Ipiranga do Norte - MT, 78573-000"
"14","Teixeira de Freitas, BA"
"15","Santa Maria da Vitória, BA"
"16","Nova Várzea Grande, Várzea Grande - MT, 78135-730"
"17","Gov. Valadares, MG"
"18","Patos Velhos, Prudentópolis - PR, 84400-000"
"19","São Paulo"
"20","Tauarizinho, Peixe-Boi - PA, 68734-000"
"21","Santa Quitéria, CE, 62280-000"
"22","Sinop - MT"
"23","Bororé, Maçambara - RS, 97645-000"
"24","Castanhal, PA"
"25","Cuiá, João Pessoa - PB"
"26","Guaraí, TO, 77700-000"
"27","São Gonçalo do Piauí - PI"
"28","Lago da Pedra - MA"
"29","Três-Marias, Juazeiro do Norte - CE"
"30","Ladário - MS"
"31","Biguaçu, SC"
"32","Garanhuns, PE"
"33","Bonhu, Russas - CE, 62900-000"
"34","Itabela - BA"
"35","Santa Inês - MA"
"36",NA
"37","Fortim, CE"
"38","R. João Corrêa Neto, 725 - Jardim Sao Pedro, Dourados - MS, 79810-080"
"39","Extremoz - RN"
"40","Goianésia, GO"
"41","Itapuranga, GO, 76680-000"
"42","Estrada Marechal Osório - Farrapos, Porto Alegre - RS, 90250-755"
"43","São José dos Basílios - MA"
"44","Bom Jesus - PI, 64900-000"
"45","Dionísio Cerqueira, SC"
"46","Cafelândia - PR"
"47","Parada Cristal, Caxias do Sul - RS"
"48","R. do Vassoural, 791-755 - Vassoural, Caruaru - PE, 55028-400"
"49","Limeira - SP"
"50","Padre Cícero, Juazeiro do Norte - CE"
"51","Santa Cruz - RN"
"52","Santa Rita de Cássia, BA, 47150-000"
"53",NA
"54","Itanorte, Campo Novo do Parecis - MT, 78360-000"
"55","Itapicuru, Irecê - BA"
"56","Balsas - MA"
"57","R. Benjamin Constant, 405 - Jardim Europa, Toledo - PR, 85908-090"
"58","R. Alvorada, 1341 - Dona Augusta, Campo Bom - RS, 93700-000"
"59","Macapá, AP"
"60","Chapecó, SC"
"61","R. Adiles Monteiro de Almeida, 1-341 - Pé de Platano, Santa Maria - RS, 97110-010"
"62","R. José Cassimiro da Silva, 1834 - Jardim Equatorial, Boa Vista - RR, 69317-102"
"63","Mato Grosso"
"64","Adamantina - SP, 17800-000"
"65","Quipapá, PE"
"66","Crateús, CE, 63700-000"
"67","Poço Fundo, MG, 37757-000"
"68","Pinheiros, ES, 29980-000"
"69","Capão Grande, Várzea Grande - MT"
"70","Rua Caigangue, 79-1 - Esplanada, Chapecó - SC, 89812-572"
"71","Alta Floresta - MT, 78580-000"
"72","Brasil"
"73","Castilho - SP, 16920-000"
"74","Patrocínio, MG, 38740-000"
"75","Araguaína - TO"
"76","Macapá, AP"
"77","Vitória da Conquista, BA"
"78","Vale do Paraíso - RO"
"79","Reflorestamento com eucalipto, Minas Gerais"
"80","Ceará-Mirim - RN, 59570-000"
"81","Jijoca de Jericoacoara - CE"
"82","Baía de Todos os Santos"
"83","Toricueije, Barra do Garças - MT"
"84","Upanema - RN"
"85","R. Cneo Pompêo de Camargo, 1270 - Jardim Novo Campos Eliseos, Campinas - SP, 13060-150"
"86","Mal. Cândido Rondon, PR, 85960-000"
"87","Monte Sinai, Barra de São Francisco - ES"
"88","Conceição da Barra - ES, 29960-000"
"89","Quixeramobim, CE, 63800-000"
"90","Planalto, Porto Velho - RO"
"91","R. Emílio Roth, 332 - Vila Santa Lucia, Campo Bom - RS, 93700-000"
"92","São Mateus do Maranhão - MA"
"93","Aquidauana, MS, 79200-000"
"94",NA
"95","R. Armante Guimarães, 535 - Cidade Salmen, Rondonópolis - MT, 78705-110"
"96","R. 8, 79 - Bequimão, São Luís - MA, 65061-640"
"97","Balsas - MA"
"98","Nova Monte Verde - MT, 78593-000"
"99","Uberaba - MG"
"100","Colatina, ES"
"101","R. Universidade Estadual de Roraima, 1224 - Cidade Satélite, Boa Vista - RR, 69317-805"
"102","Terra Roxa - SP"
"103","Mogi Mirim, SP"
"104","Telêmaco Borba - PR"
"105","AP-440 - Macapá, AP"
"106","Naque-Nanuque, Açucena - MG"
"107","Av. Prof. João Thomes, 193 - Parque Res. Q.ta Da L, Três Lagoas - MS, 79611-170"
"108","Barro Duro, Tutóia - MA"
"109","Juazeiro de Baixo, Morada Nova - CE, 62940-000"
"110","Nações, Balneário Camboriú - SC"
"111","R. Cneo Pompêo de Camargo, 1270 - Jardim Novo Campos Eliseos, Campinas - SP, 13060-150"
"112","Araquari, SC, 89245-000"
"113","Marabá - PA"
"114","São Cristóvão - SE"
"115","Santa Bárbara D'Oeste, Santa Bárbara d'Oeste - SP"
"116","Euclides da Cunha, BA"
"117","Serra Branca de Minas, Porteirinha - MG, 39520-000"
"118","Laranjeiras, Banabuiú - CE, 63960-000"
"119","Rio Branco - AC"
"120","R. Luzia Moura da Silva, 1097 - Alto do Sumaré, Mossoró - RN, 59633-725"
"121","Catimbaú - Alegrete, RS"
"122","Cambiasca, São Fidélis - RJ, 28400-000"
"123","Quixeramobim, CE, 63800-000"
"124","Anajatuba, MA, 65490-000"
"125","Lácio, Marília - SP"
"126","Guaíba - RS, 92500-000"
"127","Av. Calama, 937 - São João Bosco, Porto Velho - RO, 76801-309"
"128","Campo Alegre - AL"
"129","Estrela D'Oeste, Estrela d'Oeste - SP, 15650-000"
"130","Brasil"
"131","Segundo Subdistrito - Campos dos Goytacazes, RJ"
"132","R. Belo Horizonte, 14 - Tancredo Neves, Manaus - AM, 69087-610"
"133","Santa Luzia do Norte - AL"
"134","João Paulo II, Barbacena - MG"
"135","Euzébio de Oliveira, Ibaiti - PR, 84900-000"
"136","Pres. Prudente - Conjunto Habitacional Ana, Pres. Prudente - SP"
"137","Rua 04 De Janeiro, 672 - Jardim Leblon, Cuiabá - MT, 78060-084"
"138","Peixe, Russas - CE, 62900-000"
"139","Roraima"
"140","São Jorge, Tangará da Serra - MT, 78300-000"
"141","Campo Grande, MS"
"142","Capivari de Baixo - SC"
"143","Iturama, MG, 38280-000"
"144","Campo Grande, MS"
"145","Muniz Freire, ES, 29380-000"
"146","Diamantina, MG, 39100-000"
"147","São Bento do Norte - RN"
"148","Areões, Nova Nazaré - MT, 78638-000"
"149","Baía do Guajará, Pará"
"150","Unistalda - RS, 97755-000"
"151","Itaberaba - BA"
"152","São Gonçalo do Amarante - RN"
"153","Campininha, Cesário Lange - SP, 18285-000"
"154","Tabalascada, Cantá - RR, 69390-000"
"155",NA
"156","R. Ângelo Calabreta, 158 - Vila Aristarcho, Pres. Prudente - SP, 19013-320"
"157","Pérola d'Oeste, PR, 85740-000"
"158","Bonhu, Russas - CE, 62900-000"
"159","Cícero Dantas, BA"
"160","Primeiro Subdistrito - Campos dos Goytacazes, RJ"
"161","São Francisco, Manaus - AM"
"162","Itaú - RN"
"163","Monnerat, RJ, 28650-000"
"164","Piraí, RJ, 27175-000"
"165","Juara, MT"
"166","Luís Eduardo Magalhães - BA"
"167","Caraíva, Porto Seguro - BA, 45810-000"
"168","Baía de São Marcos"
"169","Gov. Mangabeira - BA, 44350-000"
"170","Gov. Valadares, MG"
"171","Campus Universitário, Londrina - PR"
"172","Porto Velho, RO"
"173","R. Cuba, 1069 - Jardim Consolacao, Franca - SP, 14400-080"
"174","Capitania, Montalvânia - MG, 39495-000"
"175","Ibatiba - ES"
"176","América do Sul"
"177","Carolina - MA, 65980-000"
"178","Limoeiro do Norte, CE"
"179","Corumbá, MS"
"180","Madalena, CE"
"181","Gov. Valadares, MG"
"182","R. Cel. Milton Freire - Abolição III, Mossoró - RN, 59612-440"
"183","Raul Soares, MG, 35350-000"
"184","Tuparaí, Itaqui - RS, 97650-000"
"185","São Bento Baixo, Nova Veneza - SC"
"186","Votorantim - SP"
"187","Três Passos, RS, 98600-000"
"188","Ressacada, Itajaí - SC"
"189","Redenção - PA"
"190","Fartura, São Gabriel da Palha - ES"
"191","Conceição do Lago-Açu - MA"
"192","Coxilha Grande, Vacaria - RS"
"193","Areões, Nova Nazaré - MT, 78638-000"
"194","Porto Velho, RO"
"195","Monte Alto, SP, 15910-000"
"196","Lauro Müller, SC"
"197","Currais Novos - RN"
"198","Araguari, MG"
"199","R. Venâncio Aires, 2188 - Centro, Santa Maria - RS, 97010-004"
"200","Jaguaruna - SC, 88715-000"
"201","São Pedro, Bento Gonçalves - RS"
"202","Seival, Candiota - RS, 96495-000"
"203","Itaiacoca, Ponta Grossa - PR"
"204","Paraíso, Uberaba - MG"
"205","Itapiranga - SC"
"206","Jataí - GO"
"207","Jateí - MS, 79720-000"
"208","São Carlos, SP"
"209","Babaçulândia - TO"
"210","Av. Francisco Péres, 192 - Guarujá, Montes Claros - MG, 39404-215"
"211",NA
"212","Eunápolis - BA"
"213","Bandeirantes, Juiz de Fora - MG"
"214","Canindezinho, CE"
"215","Wanderley - BA"
"216","Bela Vista, Passo Fundo - RS"
"217","Rua José Merhy, 322 - Boa Vista, Curitiba - PR, 82540-090"
"218","América do Sul"
"219","Cuité, PB"
"220","Umbaúba - SE"
"221","Sumé, PB"
"222","Ituiutaba - MG"
"223","Região Metropolitana de Sorocaba, SP"
"224","Cacoal, RO"
"225","Raposa - MA"
"226","Arcoverde - PE"
"227","Tv. Leopoldino Tantú, 2-70 - Rio Vermelho, Salvador - BA, 41950-590"
"228","R. Nossa Sra. Dos Navegantes, 542 - Cidade de Deus, Manaus - AM, 69099-305"
"229","Nioaque - MS, 79220-000"
"230","Banquete, RJ, 28660-000"
"231","R. Euterpe, 353 - Alto Jardim Conquista, Olinda - PE, 53190-230"
"232","Poço Comprido, Amontada - CE, 62500-000"
"233","Pontal, SP, 14180-000"
"234","Rio Branco - AC"
"235","Urandi - BA"
"236","Borborema - PB"
"237","Barranco Alto, Alfenas - MG"
